triCode,owner,season,league
CAR,Ani,20222023,lord_stanley
CGY,Ani,20222023,lord_stanley
NJD,Ani,20222023,lord_stanley
NYI,Ani,20222023,lord_stanley
PHI,Ani,20222023,lord_stanley
TBL,Ani,20222023,lord_stanley
VAN,Ani,20222023,lord_stanley
VGK,Ani,20222023,lord_stanley
ARI,Eric,20222023,lord_stanley
BUF,Eric,20222023,lord_stanley
CBJ,Eric,20222023,lord_stanley
CHI,Eric,20222023,lord_stanley
COL,Eric,20222023,lord_stanley
DAL,Eric,20222023,lord_stanley
MTL,Eric,20222023,lord_stanley
SJS,Eric,20222023,lord_stanley
DET,Madhav,20222023,lord_stanley
EDM,Madhav,20222023,lord_stanley
FLA,Madhav,20222023,lord_stanley
NYR,Madhav,20222023,lord_stanley
OTT,Madhav,20222023,lord_stanley
STL,Madhav,20222023,lord_stanley
WPG,Madhav,20222023,lord_stanley
WSH,Madhav,20222023,lord_stanley
ANA,Rob,20222023,lord_stanley
BOS,Rob,20222023,lord_stanley
LAK,Rob,20222023,lord_stanley
MIN,Rob,20222023,lord_stanley
NSH,Rob,20222023,lord_stanley
PIT,Rob,20222023,lord_stanley
SEA,Rob,20222023,lord_stanley
TOR,Rob,20222023,lord_stanley
NJD,Ani,20232024,lord_stanley
DAL,Ani,20232024,lord_stanley
TBL,Ani,20232024,lord_stanley
NYR,Ani,20232024,lord_stanley
STL,Ani,20232024,lord_stanley
WSH,Ani,20232024,lord_stanley
DET,Ani,20232024,lord_stanley
PHI,Ani,20232024,lord_stanley
VGK,Eric,20232024,lord_stanley
FLA,Eric,20232024,lord_stanley
CAR,Eric,20232024,lord_stanley
SEA,Eric,20232024,lord_stanley
PIT,Eric,20232024,lord_stanley
BUF,Eric,20232024,lord_stanley
VAN,Eric,20232024,lord_stanley
SJS,Eric,20232024,lord_stanley
TOR,Madhav,20232024,lord_stanley
CGY,Madhav,20232024,lord_stanley
WPG,Madhav,20232024,lord_stanley
MIN,Madhav,20232024,lord_stanley
CBJ,Madhav,20232024,lord_stanley
NSH,Madhav,20232024,lord_stanley
ANA,Madhav,20232024,lord_stanley
CHI,Madhav,20232024,lord_stanley
EDM,Rob,20232024,lord_stanley
COL,Rob,20232024,lord_stanley
BOS,Rob,20232024,lord_stanley
LAK,Rob,20232024,lord_stanley
OTT,Rob,20232024,lord_stanley
NYI,Rob,20232024,lord_stanley
ARI,Rob,20232024,lord_stanley
MTL,Rob,20232024,lord_stanley
EDM,Ani,20242025,lord_stanley
BOS,Ani,20242025,lord_stanley
TBL,Ani,20242025,lord_stanley
SEA,Ani,20242025,lord_stanley
BUF,Ani,20242025,lord_stanley
STL,Ani,20242025,lord_stanley
OTT,Ani,20242025,lord_stanley
SJS,Ani,20242025,lord_stanley
FLA,Eric,20242025,lord_stanley
NSH,Eric,20242025,lord_stanley
VAN,Eric,20242025,lord_stanley
LAK,Eric,20242025,lord_stanley
DET,Eric,20242025,lord_stanley
NYI,Eric,20242025,lord_stanley
WSH,Eric,20242025,lord_stanley
CBJ,Eric,20242025,lord_stanley
COL,Madhav,20242025,lord_stanley
NJD,Madhav,20242025,lord_stanley
TOR,Madhav,20242025,lord_stanley
WPG,Madhav,20242025,lord_stanley
CGY,Madhav,20242025,lord_stanley
UTA,Madhav,20242025,lord_stanley
PHI,Madhav,20242025,lord_stanley
CHI,Madhav,20242025,lord_stanley
DAL,Rob,20242025,lord_stanley
NYR,Rob,20242025,lord_stanley
CAR,Rob,20242025,lord_stanley
VGK,Rob,20242025,lord_stanley
PIT,Rob,20242025,lord_stanley
MIN,Rob,20242025,lord_stanley
MTL,Rob,20242025,lord_stanley
ANA,Rob,20242025,lord_stanley